1	1	1	m	1	2006	0
2	1	1	m	1	2007	0
3	1	1	m	1	2008	0
4	1	1	m	1	2009	0
5	1	1	m	1	2010	0
6	1	1	m	1	2011	0
7	1	1	m	1	2012	0
8	1	1	m	1	2013	0
9	1	1	m	1	2014	0
10	1	1	m	1	2015	0
11	1	1	m	1	2016	0
12	2	1	m	1	2017	0
13	2	1	m	1	2006	147
14	2	1	m	1	2007	139
15	2	1	m	1	2008	142
16	2	1	m	1	2009	158
17	2	1	m	1	2010	210
18	2	1	m	1	2011	165
19	2	1	m	1	2012	163
20	2	1	m	1	2013	177
21	2	1	m	1	2014	136
22	2	1	m	1	2015	158
23	2	1	m	1	2016	117
24	3	1	m	1	2017	141
25	3	1	m	1	2006	23
26	3	1	m	1	2007	19
27	3	1	m	1	2008	22
28	3	1	m	1	2009	19
29	3	1	m	1	2010	27
30	3	1	m	1	2011	28
31	3	1	m	1	2012	31
32	3	1	m	1	2013	29
33	3	1	m	1	2014	35
34	3	1	m	1	2015	36
35	3	1	m	1	2016	27
36	4	1	m	1	2017	29
37	4	1	m	1	2006	73
38	4	1	m	1	2007	67
39	4	1	m	1	2008	59
40	4	1	m	1	2009	69
41	4	1	m	1	2010	79
42	4	1	m	1	2011	81
43	4	1	m	1	2012	86
44	4	1	m	1	2013	91
45	4	1	m	1	2014	102
46	4	1	m	1	2015	99
47	4	1	m	1	2016	114
48	5	1	m	1	2017	94
49	5	1	m	1	2006	22
50	5	1	m	1	2007	16
51	5	1	m	1	2008	46
52	5	1	m	1	2009	20
53	5	1	m	1	2010	21
54	5	1	m	1	2011	22
55	5	1	m	1	2012	23
56	5	1	m	1	2013	24
57	5	1	m	1	2014	28
58	5	1	m	1	2015	26
59	5	1	m	1	2016	25
60	6	1	m	1	2017	23
61	6	1	m	1	2006	49
62	6	1	m	1	2007	62
63	6	1	m	1	2008	36
64	6	1	m	1	2009	38
65	6	1	m	1	2010	54
66	6	1	m	1	2011	47
67	6	1	m	1	2012	42
68	6	1	m	1	2013	47
69	6	1	m	1	2014	57
70	6	1	m	1	2015	57
71	6	1	m	1	2016	41
72	7	1	m	1	2017	49
73	7	1	m	1	2006	33
74	7	1	m	1	2007	26
75	7	1	m	1	2008	35
76	7	1	m	1	2009	31
77	7	1	m	1	2010	31
